YEAR,MONTH,BENE_STATE_ABRVTN,BENE_STATE_DESC,TOT_BENES,ORGNL_MDCR_BENES,MA_AND_OTH_BENES,ma_penetration
2013,May,CO,Colorado,716356.0,465563.0,250793.0,0.3500954832513443
2013,May,CT,Connecticut,605973.0,466296.0,139677.0,0.23050036882831412
2013,May,DE,Delaware,166860.0,155047.0,11813.0,0.0707958767829318
2013,May,DC,District of Columbia,83547.0,74603.0,8944.0,0.10705351478808335
2013,May,FL,Florida,3737811.0,2399324.0,1338487.0,0.35809381480230007
2013,May,GA,Georgia,1404594.0,1038325.0,366269.0,0.2607650324577778
2013,May,HI,Hawaii,228414.0,123844.0,104570.0,0.4578090659942035
2013,May,ID,Idaho,258759.0,180557.0,78202.0,0.30221943971030957
2013,May,IL,Illinois,1975067.0,1755190.0,219877.0,0.11132634994154629
2013,May,IN,Indiana,1089184.0,856583.0,232601.0,0.2135552854246849
2013,May,IA,Iowa,546939.0,469370.0,77569.0,0.14182385969916206
2013,May,KS,Kansas,463739.0,404716.0,59023.0,0.12727633431736385
2013,May,KY,Kentucky,822849.0,633937.0,188912.0,0.2295828274689524
2013,May,LA,Louisiana,743552.0,546270.0,197282.0,0.2653237433293166
2013,May,ME,Maine,289808.0,238181.0,51627.0,0.17814208027383646
2013,May,MD,Maryland,871406.0,796275.0,75131.0,0.08621813483037757
2013,May,MA,Massachusetts,1152391.0,940127.0,212264.0,0.1841944270651194
2013,May,MI,Michigan,1797105.0,1308258.0,488847.0,0.2720191641556837
2013,May,MN,Minnesota,859335.0,434934.0,424401.0,0.4938714238335457
2013,May,MS,Mississippi,532958.0,465970.0,66988.0,0.125690955009588
2013,May,MO,Missouri,1081462.0,814422.0,267040.0,0.24692499597766726
2013,May,MT,Montana,187348.0,158093.0,29255.0,0.1561532549053099
2013,May,NE,Nebraska,297084.0,260938.0,36146.0,0.1216692921867216
2013,May,NV,Nevada,411071.0,282610.0,128461.0,0.312503192879089
2013,May,NH,New Hampshire,245124.0,231251.0,13873.0,0.05659584536805862
2013,May,NJ,New Jersey,1426687.0,1198161.0,228526.0,0.16017949276891147
2013,May,NM,New Mexico,346164.0,245220.0,100944.0,0.2916074461815787
2013,May,NY,New York,3199028.0,2122030.0,1076998.0,0.3366641367315322
2013,May,NC,North Carolina,1653849.0,1314895.0,338954.0,0.20494857753035495
2013,May,ND,North Dakota,113157.0,97813.0,15344.0,0.13559921171469727
2013,May,OH,Ohio,2048311.0,1284820.0,763491.0,0.37274173697255936
2013,May,OK,Oklahoma,648695.0,542973.0,105722.0,0.16297643730875064
2013,May,OR,Oregon,695430.0,403635.0,291795.0,0.4195893188387041
2013,May,PA,Pennsylvania,2429142.0,1479227.0,949915.0,0.3910495969358728
2013,May,RI,Rhode Island,194764.0,126387.0,68377.0,0.3510761742416463
2013,May,SC,South Carolina,869084.0,694491.0,174593.0,0.2008931242549627
2013,May,SD,South Dakota,146623.0,125374.0,21249.0,0.1449226928926567
2013,May,TN,Tennessee,1164210.0,815706.0,348504.0,0.2993480557631355
2013,May,TX,Texas,3365572.0,2456615.0,908957.0,0.2700750422216491
2013,May,UT,Utah,318403.0,213498.0,104905.0,0.32947239818720303
2013,May,VT,Vermont,123193.0,114220.0,8973.0,0.07283693066976209
2013,May,VA,Virginia,1262786.0,1071969.0,190817.0,0.15110794703140518
2013,May,WA,Washington,1094508.0,781945.0,312563.0,0.28557397479049945
2013,May,WV,West Virginia,402481.0,310332.0,92149.0,0.22895242259883075
2013,May,WI,Wisconsin,989248.0,657190.0,332058.0,0.33566709257941385
2013,May,WY,Wyoming,88236.0,84977.0,3259.0,0.03693503785303051
2013,May,AS,American Samoa,3767.0,3652.0,115.0,0.03052827183435094
2013,May,GU,Guam,13524.0,13475.0,49.0,0.0036231884057971015
2013,May,MP,Northern Mariana Islands,1862.0,,,
2013,May,PR,Puerto Rico,708651.0,193420.0,515231.0,0.7270588766543757
2013,May,VI,Virgin Islands,17769.0,17623.0,146.0,0.00821655692498171
2013,May,UK,Unknown,,,,
2013,May,FO,Foreign and Other Outlying Areas,392545.0,390898.0,1647.0,0.004195697308588825
2013,June,AL,Alabama,919172.0,709653.0,209519.0,0.2279431923513771
2013,June,AK,Alaska,75973.0,75415.0,558.0,0.007344714569649744
2013,June,AZ,Arizona,1047385.0,657333.0,390052.0,0.3724055624245144
2013,June,AR,Arkansas,571317.0,466206.0,105111.0,0.18398017212860812
2013,June,CA,California,5287069.0,3312880.0,1974189.0,0.3733995149297276
2013,June,CO,Colorado,718999.0,467387.0,251612.0,0.3499476355321774
2013,June,CT,Connecticut,607427.0,466952.0,140475.0,0.23126235745200657
2013,June,DE,Delaware,167294.0,155431.0,11863.0,0.07091109065477542
2013,June,DC,District of Columbia,83808.0,74823.0,8985.0,0.10720933562428407
